year,plot,species,comp
1994,3b,Carex flacca,0.19
1994,3b,Cerastium fontanum,0.12
1994,3b,Pimpinella saxifraga,0.12
1995,3b,Sanguisorba minor,17.69
1995,3b,Festuca rubra,14.67
1995,3b,Plantago lanceolata,14.45
1995,3b,Leontodon hispidus,12.31
1995,3b,Poa pratensis,11.59
1995,3b,Centaurea nigra,6.7
1995,3b,Agrostis capillaris,4.56
1995,3b,Holcus lanatus,2.86
1995,3b,Anthoxanthum odoratum,2.42
1995,3b,Briza media,1.81
1995,3b,Trifolium pratense,1.26
1995,3b,Dactylis glomerata,1.21
1995,3b,Helictotrichon pubescens,1.15
1995,3b,Taraxacum officinale,1.15
1995,3b,Luzula campestris,1.04
1995,3b,Achillea millefolium,0.93
1995,3b,Trisetum flavescens,0.77
1995,3b,Ranunculus acris,0.71
1995,3b,Lotus corniculatus,0.6
1995,3b,Rumex acetosa,0.55
1995,3b,Alopecurus pratensis,0.38
1995,3b,Ajuga reptans,0.27
1995,3b,Pimpinella saxifraga,0.27
1995,3b,Trifolium repens,0.22
1995,3b,Carex flacca,0.11
1995,3b,Conopodium majus,0.11
1995,3b,Lathyrus pratensis,0.05
1995,3b,Crepis capillaris,0.05
1995,3b,Veronica chamaedrys,0.05
1996,3b,Festuca rubra,22.37
1996,3b,Helictotrichon pubescens,10.8
1996,3b,Leontodon hispidus,9.37
1996,3b,Centaurea nigra,7.77
1996,3b,Plantago lanceolata,6.56
1996,3b,Achillea millefolium,5.98
1996,3b,Agrostis capillaris,5.22
1996,3b,Sanguisorba minor,5.04
1996,3b,Dactylis glomerata,4.55
1996,3b,Holcus lanatus,4.02
1996,3b,Taraxacum officinale,3.71
1996,3b,Knautia arvensis,3.39
1996,3b,Anthoxanthum odoratum,2.86
1996,3b,Poa pratensis,1.92
1996,3b,Luzula campestris,1.56
1996,3b,Arrhenatherum elatius,1.21
1996,3b,Rumex acetosa,0.8
1996,3b,Ranunculus acris,0.58
1996,3b,Conopodium majus,0.54
1996,3b,Briza media,0.4
1996,3b,Lotus corniculatus,0.27
1996,3b,Trisetum flavescens,0.22
1996,3b,Cerastium fontanum,0.22
1996,3b,Ranunculus auricomus,0.22
1996,3b,Poa trivialis,0.13
1996,3b,Trifolium pratense,0.09
1996,3b,Carex caryophyllea,0.09
1996,3b,Lathyrus pratensis,0.04
1996,3b,Pimpinella saxifraga,0.04
1997,3b,Festuca rubra,37.53
1997,3b,Leontodon hispidus,27.02
1997,3b,Agrostis capillaris,9.72
1997,3b,Poa pratensis,7.96
1997,3b,Sanguisorba minor,4.43
1997,3b,Achillea millefolium,3.47
1997,3b,Helictotrichon pubescens,1.92
1997,3b,Trifolium pratense,0.85
1997,3b,Plantago lanceolata,0.85
1997,3b,Dactylis glomerata,0.8
1997,3b,Holcus lanatus,0.69
1997,3b,Ranunculus acris,0.64
1997,3b,Ranunculus bulbosus,0.59
1997,3b,Anthoxanthum odoratum,0.48
1997,3b,Centaurea nigra,0.43
1997,3b,Luzula campestris,0.43
1997,3b,Taraxacum officinale,0.43
1997,3b,Rumex acetosa,0.37
1997,3b,Briza media,0.27
1997,3b,Lathyrus pratensis,0.27
1997,3b,Lotus corniculatus,0.16
1997,3b,Conopodium majus,0.16
1997,3b,Alopecurus pratensis,0.11
1997,3b,Ajuga reptans,0.11
1997,3b,Pimpinella saxifraga,0.11
1997,3b,Festuca pratensis,0.05
1997,3b,Trifolium repens,0.05
1997,3b,Knautia arvensis,0.05
1997,3b,Tragopogon pratensis,0.05
1998,3b,Festuca rubra,18.93
1998,3b,Dactylis glomerata,12.6
1998,3b,Centaurea nigra,12.6
1998,3b,Agrostis capillaris,10.71
1998,3b,Sanguisorba minor,10.24
1998,3b,Leontodon hispidus,9.1
1998,3b,Lotus corniculatus,5.62
1998,3b,Helictotrichon pubescens,4.15
1998,3b,Ranunculus acris,3.81
1998,3b,Ranunculus bulbosus,2.49
1998,3b,Plantago lanceolata,2.05
1998,3b,Briza media,2.04
1998,3b,Achillea millefolium,1.44
1998,3b,Trifolium pratense,0.85
1998,3b,Luzula campestris,0.74
1998,3b,Taraxacum officinale,0.65
1998,3b,Ajuga reptans,0.58
1998,3b,Cerastium fontanum,0.42
1998,3b,Anthoxanthum odoratum,0.23
1998,3b,Poa pratensis,0.22
1998,3b,Holcus lanatus,0.19
1998,3b,Arrhenatherum elatius,0.13
1998,3b,Conopodium majus,0.1
1998,3b,Pimpinella saxifraga,0.07
1998,3b,Carex caryophyllea,0.02
1998,3b,Lathyrus pratensis,0.01
1999,3b,Leontodon hispidus,28.12
1999,3b,Festuca rubra,10.42
1999,3b,Helictotrichon pubescens,8.66
1999,3b,Centaurea nigra,7.06
1999,3b,Agrostis capillaris,6.71
1999,3b,Trifolium pratense,4.84
1999,3b,Anthoxanthum odoratum,4.25
1999,3b,Holcus lanatus,3.86
1999,3b,Sanguisorba minor,3.83
1999,3b,Briza media,3.81
1999,3b,Plantago lanceolata,3.25
1999,3b,Achillea millefolium,3.19
1999,3b,Luzula campestris,2.12
1999,3b,Cerastium fontanum,1.86
1999,3b,Lotus corniculatus,1.38
1999,3b,Knautia arvensis,0.98
1999,3b,Ranunculus acris,0.92
1999,3b,Dactylis glomerata,0.75
1999,3b,Trifolium repens,0.74
1999,3b,Alopecurus pratensis,0.63
1999,3b,Tragopogon pratensis,0.61
1999,3b,Ajuga reptans,0.51
1999,3b,Poa pratensis,0.37
1999,3b,Ranunculus bulbosus,0.36
1999,3b,Carex caryophyllea,0.29
1999,3b,Taraxacum officinale,0.29
1999,3b,Pimpinella saxifraga,0.09
1999,3b,Lathyrus pratensis,0.05
1999,3b,Trisetum flavescens,0.03
1999,3b,Rumex acetosa,0.02
2000,3b,Leontodon hispidus,17.61
2000,3b,Helictotrichon pubescens,9.58
2000,3b,Agrostis capillaris,8.86
2000,3b,Festuca rubra,8.43
2000,3b,Anthoxanthum odoratum,7.38
2000,3b,Lotus corniculatus,6.17
2000,3b,Plantago lanceolata,5.73
2000,3b,Centaurea nigra,5.1
2000,3b,Luzula campestris,4.28
2000,3b,Briza media,4.26
2000,3b,Sanguisorba minor,3.96
2000,3b,Trifolium pratense,3.61
2000,3b,Achillea millefolium,3.28
2000,3b,Holcus lanatus,3.09
2000,3b,Cerastium fontanum,2.26
2000,3b,Ranunculus acris,2.03
2000,3b,Knautia arvensis,0.85
2000,3b,Dactylis glomerata,0.79
2000,3b,Taraxacum officinale,0.52
2000,3b,Trifolium repens,0.49
2000,3b,Poa pratensis,0.35
2000,3b,Trisetum flavescens,0.29
2000,3b,Ranunculus bulbosus,0.29
2000,3b,Carex caryophyllea,0.26
2000,3b,Arrhenatherum elatius,0.18
2000,3b,Pimpinella saxifraga,0.12
2000,3b,Conopodium majus,0.09
2000,3b,Pilosella officinarum,0.07
2000,3b,Rumex acetosa,0.02
2000,3b,Ajuga reptans,0.01
1991,3c,Festuca rubra,45.56
1991,3c,Agrostis capillaris,27.74
1991,3c,Centaurea nigra,5.11
1991,3c,Leontodon hispidus,4.72
1991,3c,Plantago lanceolata,4.69
1991,3c,Achillea millefolium,3.72
1991,3c,Sanguisorba minor,2.7
1991,3c,Lotus corniculatus,1.16
1991,3c,Dactylis glomerata,1.14
1991,3c,Briza media,0.58
1991,3c,Ranunculus bulbosus,0.39
1991,3c,Carex caryophyllea,0.31
1991,3c,Lathyrus pratensis,0.27
1991,3c,Ranunculus acris,0.26
1991,3c,Trifolium pratense,0.25
1991,3c,Anthoxanthum odoratum,0.23
1991,3c,Conopodium majus,0.23
1991,3c,Heracleum sphondylium,0.16
1991,3c,Pilosella officinarum,0.15
1991,3c,Trisetum flavescens,0.11
1991,3c,Taraxacum officinale,0.11
1991,3c,Rumex acetosa,0.08
1991,3c,Carex flacca,0.06
1991,3c,Pimpinella saxifraga,0.06
1991,3c,Holcus lanatus,0.05
1991,3c,Knautia arvensis,0.04
1991,3c,Luzula campestris,0.04
1991,3c,Crepis capillaris,0.03
1991,3c,Ajuga reptans,0.02
1991,3c,Cerastium fontanum,0.02
1991,3c,Prunella vulgaris,0.01
1992,3c,Festuca rubra,36.01
1992,3c,Agrostis capillaris,28.15
1992,3c,Leontodon hispidus,10.19
1992,3c,Centaurea nigra,7.25
1992,3c,Plantago lanceolata,4.4
1992,3c,Achillea millefolium,4.32
1992,3c,Sanguisorba minor,2.16
1992,3c,Anthoxanthum odoratum,1.21
1992,3c,Briza media,1.12
1992,3c,Conopodium majus,0.95
1992,3c,Carex caryophyllea,0.69
1992,3c,Ranunculus acris,0.6
1992,3c,Dactylis glomerata,0.52
1992,3c,Lotus corniculatus,0.52
1992,3c,Luzula campestris,0.43
1992,3c,Pilosella officinarum,0.35
1992,3c,Pimpinella saxifraga,0.35
1992,3c,Ranunculus bulbosus,0.35
1992,3c,Holcus lanatus,0.26
1992,3c,Helictotrichon pubescens,0.09
1992,3c,Cerastium fontanum,0.09
1993,3c,Festuca rubra,30.91
1993,3c,Leontodon hispidus,30
1993,3c,Agrostis capillaris,15.54
1993,3c,Plantago lanceolata,6.32
1993,3c,Anthoxanthum odoratum,3.59
1993,3c,Centaurea nigra,2.81
1993,3c,Helictotrichon pubescens,2.64
1993,3c,Carex caryophyllea,1.43
1993,3c,Briza media,1.3
1993,3c,Hypochoeris radicata,1
1993,3c,Lotus corniculatus,0.69
1993,3c,Achillea millefolium,0.56
1993,3c,Holcus lanatus,0.52
1993,3c,Sanguisorba minor,0.52
1993,3c,Pimpinella saxifraga,0.48
1993,3c,Ranunculus acris,0.39
1993,3c,Conopodium majus,0.35
1993,3c,Trifolium pratense,0.3
1993,3c,Luzula campestris,0.3
1993,3c,Ajuga reptans,0.13
1993,3c,Pilosella officinarum,0.13
1993,3c,Trifolium repens,0.04
1993,3c,Taraxacum officinale,0.04
1994,3c,Agrostis capillaris,26.32
1994,3c,Festuca rubra,21.19
1994,3c,Leontodon hispidus,18.22
1994,3c,Plantago lanceolata,6.39
1994,3c,Lotus corniculatus,6.25
1994,3c,Centaurea nigra,3.72
1994,3c,Sanguisorba minor,3.35
1994,3c,Helictotrichon pubescens,2.68
1994,3c,Anthoxanthum odoratum,2.01
1994,3c,Ranunculus acris,1.86
1994,3c,Conopodium majus,1.49
1994,3c,Carex flacca,1.41
1994,3c,Briza media,1.34
1994,3c,Achillea millefolium,1.12
1994,3c,Taraxacum officinale,0.89
1994,3c,Trifolium pratense,0.45
1994,3c,Luzula campestris,0.45
1994,3c,Holcus lanatus,0.3
1994,3c,Pilosella officinarum,0.22
1994,3c,Carex caryophyllea,0.15
1994,3c,Pimpinella saxifraga,0.15
1994,3c,Dactylis glomerata,0.07
1995,3c,Agrostis capillaris,29.6
1995,3c,Centaurea nigra,19.06
1995,3c,Leontodon hispidus,16.31
1995,3c,Festuca rubra,12.36
1995,3c,Knautia arvensis,7.08
1995,3c,Plantago lanceolata,3.29
1995,3c,Anthoxanthum odoratum,2.97
1995,3c,Achillea millefolium,2.09
1995,3c,Ranunculus acris,1.76
1995,3c,Carex caryophyllea,1.37
1995,3c,Pilosella officinarum,0.99
1995,3c,Sanguisorba minor,0.66
1995,3c,Poa pratensis,0.6
1995,3c,Holcus lanatus,0.55
1995,3c,Conopodium majus,0.38
1995,3c,Pimpinella saxifraga,0.38
1995,3c,Luzula campestris,0.22
1995,3c,Briza media,0.11
1995,3c,Trifolium pratense,0.11
1995,3c,Dactylis glomerata,0.05
1995,3c,Ajuga reptans,0.05
1996,3c,Festuca rubra,41.11
1996,3c,Agrostis capillaris,26.54
1996,3c,Leontodon hispidus,12.15
1996,3c,Centaurea nigra,4.96
1996,3c,Carex caryophyllea,4.47
1996,3c,Ranunculus auricomus,2
1996,3c,Pilosella officinarum,1.87
1996,3c,Briza media,1.51
1996,3c,Plantago lanceolata,0.85
1996,3c,Helictotrichon pubescens,0.79
1996,3c,Anthoxanthum odoratum,0.73
1996,3c,Dactylis glomerata,0.73
1996,3c,Luzula campestris,0.6
1996,3c,Achillea millefolium,0.54
1996,3c,Conopodium majus,0.3
1996,3c,Pimpinella saxifraga,0.3
1996,3c,Sanguisorba minor,0.18
1996,3c,Lotus corniculatus,0.12
1996,3c,Carex flacca,0.06
1996,3c,Prunella vulgaris,0.06
1996,3c,Ranunculus acris,0.06
1996,3c,Taraxacum officinale,0.06
1997,3c,Agrostis capillaris,43.96
1997,3c,Festuca rubra,37.87
1997,3c,Leontodon hispidus,6.65
1997,3c,Centaurea nigra,4.01
1997,3c,Dactylis glomerata,1.37
1997,3c,Carex caryophyllea,0.86
1997,3c,Knautia arvensis,0.81
1997,3c,Achillea millefolium,0.76
1997,3c,Pilosella officinarum,0.66
1997,3c,Ranunculus bulbosus,0.66
1997,3c,Luzula campestris,0.51
1997,3c,Lotus corniculatus,0.41
1997,3c,Briza media,0.36
1997,3c,Anthoxanthum odoratum,0.2
1997,3c,Poa pratensis,0.2
1997,3c,Pimpinella saxifraga,0.2
1997,3c,Plantago lanceolata,0.2
1997,3c,Sanguisorba minor,0.2
1997,3c,Trifolium pratense,0.05
1997,3c,Conopodium majus,0.05
1998,3c,Agrostis capillaris,42.23
1998,3c,Festuca rubra,31.53
1998,3c,Achillea millefolium,7.15
1998,3c,Leontodon hispidus,5.31
1998,3c,Centaurea nigra,4.05
1998,3c,Ranunculus bulbosus,2.86
1998,3c,Conopodium majus,2.05
1998,3c,Anthoxanthum odoratum,1.12
1998,3c,Briza media,0.89
1998,3c,Plantago lanceolata,0.89
1998,3c,Pimpinella saxifraga,0.78
1998,3c,Holcus lanatus,0.34
1998,3c,Helictotrichon pubescens,0.19
1998,3c,Lotus corniculatus,0.16
1998,3c,Luzula campestris,0.16
1998,3c,Sanguisorba minor,0.16
1998,3c,Carex caryophyllea,0.04
1998,3c,Dactylis glomerata,0.03
1998,3c,Ajuga reptans,0.03
1998,3c,Taraxacum officinale,0.02
1999,3c,Agrostis capillaris,32.88
1999,3c,Festuca rubra,28.16
1999,3c,Leontodon hispidus,15.9
1999,3c,Centaurea nigra,6.62
1999,3c,Anthoxanthum odoratum,4.75
1999,3c,Briza media,2.26
1999,3c,Carex caryophyllea,1.94
1999,3c,Luzula campestris,1.52
1999,3c,Achillea millefolium,1.48
1999,3c,Helictotrichon pubescens,0.92
1999,3c,Ranunculus acris,0.74
1999,3c,Plantago lanceolata,0.73
1999,3c,Dactylis glomerata,0.64
1999,3c,Pilosella officinarum,0.46
1999,3c,Holcus lanatus,0.31
1999,3c,Conopodium majus,0.19
1999,3c,Pimpinella saxifraga,0.15
1999,3c,Ajuga reptans,0.13
1999,3c,Rumex acetosa,0.11
1999,3c,Taraxacum officinale,0.06
1999,3c,Ranunculus bulbosus,0.03
1999,3c,Sanguisorba minor,0.02
2000,3c,Agrostis capillaris,36.04
2000,3c,Festuca rubra,22.4
2000,3c,Leontodon hispidus,13.61
2000,3c,Sanguisorba minor,7.56
2000,3c,Anthoxanthum odoratum,5.37
2000,3c,Briza media,3.64
2000,3c,Plantago lanceolata,3.38
2000,3c,Centaurea nigra,2.63
2000,3c,Achillea millefolium,0.93
2000,3c,Luzula campestris,0.81
2000,3c,Ranunculus bulbosus,0.81
2000,3c,Carex flacca,0.67
2000,3c,Lotus corniculatus,0.45
2000,3c,Pilosella officinarum,0.29
2000,3c,Ranunculus acris,0.24
2000,3c,Stachys officinalis,0.18
2000,3c,Lathyrus pratensis,0.14
2000,3c,Leontodon autumnalis,0.14
2000,3c,Helictotrichon pubescens,0.13
2000,3c,Carex caryophyllea,0.13
2000,3c,Pimpinella saxifraga,0.13
2000,3c,Conopodium majus,0.09
2000,3c,Holcus lanatus,0.08
2000,3c,Dactylis glomerata,0.07
2000,3c,Taraxacum officinale,0.06
1975,3d,Trisetum flavescens,0.1
1975,3d,Ajuga reptans,0.1
1975,3d,Hypochoeris radicata,0.1
1975,3d,Taraxacum officinale,0.1
1975,3d,Arrhenatherum elatius,0.2
1975,3d,Poa pratensis,0.2
1975,3d,Trifolium repens,0.2
1975,3d,Galium verum,0.2
1975,3d,Helictotrichon pubescens,0.3
1975,3d,Conopodium majus,0.3
1975,3d,Pimpinella saxifraga,0.3
1975,3d,Knautia arvensis,0.4
1975,3d,Lathyrus pratensis,0.5
1975,3d,Ranunculus acris,0.7
1975,3d,Briza media,1
1975,3d,Achillea millefolium,1.3
1975,3d,Luzula campestris,1.4
1975,3d,Holcus lanatus,1.5
1975,3d,Centaurea nigra,1.5
1975,3d,Dactylis glomerata,2.2
1975,3d,Alopecurus pratensis,2.5
1975,3d,Lotus corniculatus,2.5
1975,3d,Trifolium pratense,3.3
1975,3d,Plantago lanceolata,6.1
1975,3d,Sanguisorba minor,6.9
1975,3d,Anthoxanthum odoratum,7.2
1975,3d,Leontodon hispidus,10
1975,3d,Agrostis capillaris,15.5
1975,3d,Festuca rubra,33.2
1976,3d,Galium verum,0.1
1976,3d,Pilosella officinarum,0.1
1976,3d,Tragopogon pratensis,0.1
1976,3d,Poa pratensis,0.2
1976,3d,Trifolium repens,0.2
1976,3d,Knautia arvensis,0.2
1976,3d,Taraxacum officinale,0.2
1976,3d,Alopecurus pratensis,0.3
1976,3d,Helictotrichon pubescens,0.4
1976,3d,Lathyrus pratensis,0.4
1976,3d,Conopodium majus,0.4
1976,3d,Ranunculus acris,0.5
1976,3d,Briza media,0.6
1976,3d,Achillea millefolium,0.8
1976,3d,Pimpinella saxifraga,0.8
1976,3d,Dactylis glomerata,0.9
1976,3d,Holcus lanatus,0.9
1976,3d,Carex caryophyllea,1.1
1976,3d,Luzula campestris,1.1
1976,3d,Centaurea nigra,1.3
1976,3d,Lotus corniculatus,1.4
1976,3d,Hypochoeris radicata,1.6
1976,3d,Anthoxanthum odoratum,2
1976,3d,Trifolium pratense,2.1
1976,3d,Sanguisorba minor,5.6
1976,3d,Plantago lanceolata,6.7
1976,3d,Leontodon hispidus,14.3
1976,3d,Agrostis capillaris,23.3
1976,3d,Festuca rubra,32.3
1991,3d,Festuca rubra,25.2
1991,3d,Linum catharticum,24.2
1991,3d,Agrostis capillaris,23.96
1991,3d,Centaurea nigra,5.28
1991,3d,Plantago lanceolata,3.85
1991,3d,Leontodon hispidus,2.89
1991,3d,Dactylis glomerata,2.21
1991,3d,Achillea millefolium,2.02
1991,3d,Holcus lanatus,1.73
1991,3d,Sanguisorba minor,1.63
1991,3d,Conopodium majus,1.21
1991,3d,Ranunculus bulbosus,0.71
1991,3d,Crepis capillaris,0.58
1991,3d,Galium verum,0.58
1991,3d,Briza media,0.47
1991,3d,Anthoxanthum odoratum,0.45
1991,3d,Taraxacum officinale,0.44
1991,3d,Knautia arvensis,0.4
1991,3d,Carex caryophyllea,0.34
1991,3d,Pilosella officinarum,0.32
1991,3d,Lotus corniculatus,0.23
1991,3d,Ajuga reptans,0.22
1991,3d,Lathyrus pratensis,0.21
1991,3d,Hypochoeris radicata,0.15
1991,3d,Pimpinella saxifraga,0.15
1991,3d,Luzula campestris,0.14
1991,3d,Trifolium pratense,0.12
1991,3d,Potentilla reptans,0.07
1991,3d,Ranunculus acris,0.06
1991,3d,Rumex acetosa,0.06
1991,3d,Prunella vulgaris,0.05
1991,3d,Trisetum flavescens,0.04
1992,3d,Agrostis capillaris,37.33
1992,3d,Festuca rubra,30.39
1992,3d,Leontodon hispidus,9.02
1992,3d,Centaurea nigra,6.56
1992,3d,Plantago lanceolata,3.34
1992,3d,Dactylis glomerata,1.64
1992,3d,Galium verum,1.26
1992,3d,Briza media,1.13
1992,3d,Anthoxanthum odoratum,1.07
1992,3d,Carex caryophyllea,0.95
1992,3d,Conopodium majus,0.95
1992,3d,Helictotrichon pubescens,0.69
1992,3d,Holcus lanatus,0.69
1992,3d,Pilosella officinarum,0.69
1992,3d,Lathyrus pratensis,0.57
1992,3d,Achillea millefolium,0.57
1992,3d,Ranunculus bulbosus,0.57
1992,3d,Pimpinella saxifraga,0.5
1992,3d,Lotus corniculatus,0.38
1992,3d,Ajuga reptans,0.38
1992,3d,Sanguisorba minor,0.32
1992,3d,Ranunculus acris,0.32
1992,3d,Luzula campestris,0.19
1992,3d,Crepis capillaris,0.13
1992,3d,Taraxacum officinale,0.13
1992,3d,Trifolium pratense,0.06
1992,3d,Trifolium repens,0.06
1992,3d,Primula veris,0.06
1992,3d,Prunella vulgaris,0.06
1993,3d,Agrostis capillaris,42.94
1993,3d,Festuca rubra,14.74
1993,3d,Centaurea nigra,11.06
1993,3d,Leontodon hispidus,6.69
1993,3d,Hypochoeris radicata,5.73
1993,3d,Dactylis glomerata,4.16
1993,3d,Plantago lanceolata,3.28
1993,3d,Holcus lanatus,2.66
1993,3d,Anthoxanthum odoratum,1.91
1993,3d,Carex flacca,1.91
1993,3d,Lotus corniculatus,1.3
1993,3d,Briza media,0.89
1993,3d,Ranunculus acris,0.55
1993,3d,Conopodium majus,0.48
1993,3d,Sanguisorba minor,0.48
1993,3d,Prunella vulgaris,0.41
1993,3d,Achillea millefolium,0.27
1993,3d,Galium verum,0.14
1993,3d,Ranunculus bulbosus,0.14
1993,3d,Trifolium pratense,0.07
1993,3d,Ajuga reptans,0.07
1993,3d,Pimpinella saxifraga,0.07
1993,3d,Taraxacum officinale,0.07
1994,3d,Agrostis capillaris,48.28
1994,3d,Festuca rubra,17.66
1994,3d,Plantago lanceolata,9.53
1994,3d,Anthoxanthum odoratum,7.71
1994,3d,Centaurea nigra,4.48
1994,3d,Dactylis glomerata,4.06
1994,3d,Sanguisorba minor,2.8
1994,3d,Leontodon hispidus,1.33
1994,3d,Briza media,0.56
1994,3d,Conopodium majus,0.56
1994,3d,Helictotrichon pubescens,0.49
1994,3d,Achillea millefolium,0.49
1994,3d,Luzula campestris,0.49
1994,3d,Carex flacca,0.42
1994,3d,Holcus lanatus,0.35
1994,3d,Lotus corniculatus,0.28
1994,3d,Pimpinella saxifraga,0.21
1994,3d,Ranunculus acris,0.21
1994,3d,Ranunculus bulbosus,0.07
1995,3d,Agrostis capillaris,41.67
1995,3d,Festuca rubra,29.49
1995,3d,Holcus lanatus,5.56
1995,3d,Anthoxanthum odoratum,4.56
1995,3d,Plantago lanceolata,3.99
1995,3d,Centaurea nigra,3.63
1995,3d,Dactylis glomerata,3.13
1995,3d,Pimpinella saxifraga,1.71
1995,3d,Leontodon hispidus,1.57
1995,3d,Briza media,1.35
1995,3d,Poa pratensis,1.28
1995,3d,Conopodium majus,0.5
1995,3d,Luzula campestris,0.5
1995,3d,Ranunculus acris,0.36
1995,3d,Helictotrichon pubescens,0.21
1995,3d,Achillea millefolium,0.21
1995,3d,Lotus corniculatus,0.07
1995,3d,Carex caryophyllea,0.07
1995,3d,Carex flacca,0.07
1995,3d,Pilosella officinarum,0.07
1996,3d,Agrostis capillaris,52.08
1996,3d,Festuca rubra,33.78
1996,3d,Centaurea nigra,3.1
1996,3d,Dactylis glomerata,2.96
1996,3d,Knautia arvensis,2.81
1996,3d,Leontodon hispidus,1.2
1996,3d,Helictotrichon pubescens,0.56
1996,3d,Carex caryophyllea,0.56
1996,3d,Conopodium majus,0.56
1996,3d,Luzula campestris,0.49
1996,3d,Ranunculus auricomus,0.42
1996,3d,Achillea millefolium,0.28
1996,3d,Plantago lanceolata,0.28
1996,3d,Anthoxanthum odoratum,0.21
1996,3d,Briza media,0.14
1996,3d,Holcus lanatus,0.07
1996,3d,Lotus corniculatus,0.07
1996,3d,Ajuga reptans,0.07
1996,3d,Pilosella officinarum,0.07
1996,3d,Pimpinella saxifraga,0.07
1996,3d,Sanguisorba minor,0.07
1996,3d,Ranunculus acris,0.07
1996,3d,Taraxacum officinale,0.07
1997,3d,Agrostis capillaris,45.2
1997,3d,Festuca rubra,31.99
1997,3d,Centaurea nigra,14.61
1997,3d,Leontodon hispidus,2.4
1997,3d,Dactylis glomerata,1.25
1997,3d,Achillea millefolium,1.25
1997,3d,Pilosella officinarum,0.99
1997,3d,Galium verum,0.73
1997,3d,Anthoxanthum odoratum,0.47
1997,3d,Ranunculus bulbosus,0.42
1997,3d,Poa pratensis,0.21
1997,3d,Conopodium majus,0.21
1997,3d,Briza media,0.1
1997,3d,Ajuga reptans,0.05
1997,3d,Plantago lanceolata,0.05
1997,3d,Sanguisorba minor,0.05
1998,3d,Agrostis capillaris,40.41
1998,3d,Festuca rubra,33.41
1998,3d,Centaurea nigra,14.94
1998,3d,Leontodon hispidus,3.63
1998,3d,Dactylis glomerata,1.86
1998,3d,Anthoxanthum odoratum,1.83
1998,3d,Ranunculus bulbosus,1.44
1998,3d,Conopodium majus,0.77
1998,3d,Briza media,0.43
1998,3d,Carex caryophyllea,0.27
1998,3d,Helictotrichon pubescens,0.23
1998,3d,Carex flacca,0.16
1998,3d,Luzula campestris,0.16
1998,3d,Pilosella officinarum,0.14
1998,3d,Poa pratensis,0.07
1998,3d,Taraxacum officinale,0.07
1998,3d,Ajuga reptans,0.06
1998,3d,Plantago lanceolata,0.05
1998,3d,Holcus lanatus,0.04
1998,3d,Achillea millefolium,0.03
1999,3d,Agrostis capillaris,46.55
1999,3d,Festuca rubra,27.4
1999,3d,Anthoxanthum odoratum,5.32
1999,3d,Helictotrichon pubescens,3.56
1999,3d,Centaurea nigra,2.75
1999,3d,Holcus lanatus,2.27
1999,3d,Achillea millefolium,1.94
1999,3d,Leontodon hispidus,1.32
1999,3d,Pilosella officinarum,1.26
1999,3d,Briza media,1.22
1999,3d,Hypochoeris radicata,1.11
1999,3d,Luzula campestris,0.91
1999,3d,Galium verum,0.89
1999,3d,Plantago lanceolata,0.72
1999,3d,Dactylis glomerata,0.67
1999,3d,Conopodium majus,0.63
1999,3d,Ranunculus acris,0.35
1999,3d,Pimpinella saxifraga,0.29
1999,3d,Ajuga reptans,0.24
1999,3d,Ranunculus bulbosus,0.22
1999,3d,Carex caryophyllea,0.18
1999,3d,Leontodon autumnalis,0.1
1999,3d,Taraxacum officinale,0.08
1999,3d,Carex flacca,0.02
2000,3d,Agrostis capillaris,33.81
2000,3d,Festuca rubra,20.46
2000,3d,Centaurea nigra,13.86
2000,3d,Leontodon hispidus,9.33
2000,3d,Anthoxanthum odoratum,6.14
2000,3d,Briza media,4.46
2000,3d,Plantago lanceolata,2.19
2000,3d,Achillea millefolium,1.64
2000,3d,Conopodium majus,1.5
2000,3d,Luzula campestris,1.07
2000,3d,Dactylis glomerata,0.96
2000,3d,Ranunculus acris,0.87
2000,3d,Carex flacca,0.78
2000,3d,Sanguisorba minor,0.75
2000,3d,Holcus lanatus,0.56
2000,3d,Ranunculus bulbosus,0.46
2000,3d,Leontodon autumnalis,0.39
2000,3d,Pimpinella saxifraga,0.3
2000,3d,Ajuga reptans,0.2
2000,3d,Pilosella officinarum,0.14
2000,3d,Taraxacum officinale,0.12
2000,3d,Potentilla reptans,0.02
1991,4/1a,Festuca rubra,34.45
1991,4/1a,Leontodon hispidus,17.18
1991,4/1a,Plantago lanceolata,8.43
1991,4/1a,Agrostis capillaris,6.17
1991,4/1a,Achillea millefolium,5.47
1991,4/1a,Centaurea nigra,3.78
1991,4/1a,Knautia arvensis,3.61
1991,4/1a,Pimpinella saxifraga,3.4
1991,4/1a,Ranunculus acris,3.37
1991,4/1a,Lotus corniculatus,2.79
1991,4/1a,Holcus lanatus,2.43
1991,4/1a,Trisetum flavescens,1.7
1991,4/1a,Helictotrichon pubescens,1.47
1991,4/1a,Trifolium pratense,1.08
1991,4/1a,Dactylis glomerata,0.92
1991,4/1a,Arrhenatherum elatius,0.8
1991,4/1a,Briza media,0.52
1991,4/1a,Luzula campestris,0.51
1991,4/1a,Rumex acetosa,0.5
1991,4/1a,Poa pratensis,0.4
1991,4/1a,Veronica chamaedrys,0.37
1991,4/1a,Anthoxanthum odoratum,0.21
1991,4/1a,Sanguisorba minor,0.21
1991,4/1a,Conopodium majus,0.13
1991,4/1a,Alopecurus pratensis,0.05
